2.310131437449248482e-01,2.606559104879349262e-02,8.698913602751338903e-02,1.326348235179080903e-01,2.052080076417637233e-01,2.310131437449248482e-01,1.951252918848867257e-01,7.336824214585038750e-02,1.491097687349217937e-01,1.684407591665018356e-01,1.764240516317330532e-01,1.747054540093708475e-01,1.736382604093700266e-01,1.849449339162908823e-01,1.201683120495441875e-01,1.942572442052741544e-01,8.160261082629075013e-02,7.177223916032463014e-02,5.488516594861096720e-02,8.787742237029852466e-02,1.687290246486636003e-01,1.532613303937021554e-01,2.310131437449248482e-01,2.310131437449248482e-01,2.310131437449248482e-01,2.310131437449248482e-01,1.700507929590671374e-01,9.196038195791435277e-02,9.911205318070652470e-02,1.706249459988380401e-01,1.539136918989586489e-01,1.235397461064191293e-01,2.310131437449248482e-01,2.310131437449248482e-01,3.747032763903539870e-02,2.042155924036903047e-01
2.522977748675570564e-01,1.024259390765648176e-01,2.057986187506078979e-01,2.106335449233205925e-01,1.654164574579902736e-01,8.572643099310055248e-02,6.429746088544886773e-02,5.671685321861810042e-02,6.212002179968862531e-02,9.594486592723927565e-02,9.737069019931325620e-02,3.261955512663090168e-02,9.251565833551902984e-02,1.465978935242658321e-01,2.522977748675570564e-01,2.522977748675570564e-01,1.235731339896338626e-01,2.350400289341679216e-01,1.902110570011648905e-01,2.522977748675570564e-01,2.522977748675570564e-01,1.078669704379263683e-01,4.361108447170985308e-02,7.766556146232432394e-03,1.307126970369141272e-01,2.522977748675570564e-01,2.522977748675570564e-01,2.522977748675570564e-01,2.522977748675570564e-01,2.522977748675570564e-01,6.884369048720090367e-02,6.451184727841260957e-02,6.584036788617028679e-02,6.771993892920008529e-02,6.688950856218175978e-02,1.041705821643606061e-01
9.238763573520002159e-02,6.844507661327361991e-02,9.130784874811484486e-02,1.403994766569907626e-01,2.751358188897132795e-01,9.882033957358207776e-02,3.457218484186395935e-02,2.226645231736862005e-02,2.427339592963649248e-02,1.178070271776090611e-01,4.032434530626349822e-02,1.060436179746790386e-01,4.534336376654163336e-02,1.376572470746990628e-01,1.921118313125375066e-01,9.596540027449058929e-02,9.517231012511684352e-02,5.331848813029255174e-02,1.053781309585737902e-01,2.038229391819337266e-01,2.781849386098957932e-01,1.201124137021123278e-01,2.854524148462331823e-01,2.056625190986177687e-01,1.408093343306209277e-01,4.003380076441254154e-02,4.146393750754086976e-02,9.821625574092159028e-02,5.755208326326393536e-02,2.724583427949164860e-01,2.330218795171248580e-01,2.854524148462331823e-01,2.854524148462331823e-01,2.854524148462331823e-01,1.454570064621183989e-01,2.583079391493742216e-01
1.422956599680727172e-02,1.475708072735852118e-02,5.922125998586620817e-03,0.000000000000000000e+00,2.260851979481787871e-02,0.000000000000000000e+00,4.736914625535882696e-03,5.600714562368534245e-03,0.000000000000000000e+00,2.511417892382437640e-03,0.000000000000000000e+00,3.681739423448807114e-01,2.394873494387674828e-01,8.641518441014796326e-02,5.452205895182422185e-02,3.554340342428584203e-03,1.870231035580234916e-03,0.000000000000000000e+00,5.157046703920844383e-02,2.837340471611617398e-01,3.681739423448807114e-01,1.183215273712158316e-01,1.350129441681592428e-02,1.280482060511054475e-02,9.428600098934640517e-03,2.035385626410766979e-02,1.805428469431201791e-02,1.726524943353948682e-01,3.681739423448807114e-01,2.320456389696010924e-01,3.681739423448807114e-01,3.681739423448807114e-01,2.499695797384832441e-01,7.087359710677545999e-02,5.216074625876050697e-02,3.435177212133080221e-02
1.230781779637866585e-01,7.043885417061065968e-02,2.325916791627057403e-02,7.503592166879040348e-02,5.304297461124398566e-02,8.952754584061624332e-02,2.948610946318520887e-02,6.847182693572850809e-02,8.925971583327253767e-02,2.353118450857305810e-01,1.335056840727161798e-01,2.497265516427316367e-01,1.951546952298209292e-01,1.765184846035907362e-01,2.564678598503932969e-02,5.251613613964144223e-02,8.235446837234898509e-02,1.368035615767126956e-01,2.497265516427316367e-01,2.497265516427316367e-01,2.497265516427316367e-01,2.497265516427316367e-01,2.497265516427316367e-01,1.358382238754873295e-01,4.682789019103716227e-02,7.901311547406149327e-02,1.829430972539111688e-01,5.739309196496061166e-02,1.150138195379458855e-01,2.403003016781816159e-01,2.497265516427316367e-01,2.497265516427316367e-01,2.324439194214906745e-01,7.734583056554235336e-02,1.668100116380351883e-01,2.380015004086122599e-01
2.366833043207410558e-01,1.136188865666243053e-01,1.899507671113637997e-01,3.047831378893924859e-01,3.047831378893924859e-01,2.151344119189495807e-01,1.038035360682251218e-01,3.693910385534944496e-02,2.272988774725937661e-02,4.891880989604973501e-02,2.205647707792699266e-03,8.173121758229354161e-02,3.047831378893924859e-01,3.047831378893924859e-01,9.468652401549569608e-02,1.716400055355118970e-02,2.414966735949324213e-03,2.299661042232862412e-02,1.383383200310031591e-01,8.885239624256756341e-02,8.647505439554066531e-02,1.053662778990722554e-01,3.047831378893924859e-01,2.575476347676104449e-01,1.828687133918523167e-01,9.218474698622326768e-02,1.559753335746278946e-01,4.949152666744782020e-02,5.261582383711596589e-02,5.738967450420899563e-02,1.768370566686498224e-01,1.947348201450764815e-01,2.639366746075200720e-01,1.236313412218564278e-01,1.730111545382276642e-02,1.074871323957614228e-01
1.842575991388543388e-01,2.239893930781921283e-01,1.755320113536674442e-01,1.011174281093897287e-01,1.492215491130226279e-01,9.806881319949721509e-02,4.422578226412306190e-02,4.400342902486555768e-02,8.861592119842252868e-02,1.839312262893194605e-01,2.239893930781921283e-01,2.104386732289158235e-01,1.016011030988673569e-01,1.064927090736330073e-01,1.161640468843793683e-01,1.657937844310431175e-01,2.239893930781921283e-01,1.169686203550381332e-01,4.100698259745532565e-02,1.488474408292919382e-01,1.981056750452822313e-01,2.239893930781921283e-01,2.239893930781921283e-01,1.258818969914647090e-01,2.239893930781921283e-01,2.239893930781921283e-01,1.016698302233085549e-01,1.581190373537622873e-01,2.239893930781921283e-01,2.239893930781921283e-01,1.435328737836386870e-01,7.678892522882048433e-02,1.442827829094316672e-01,1.765896355180118782e-01,1.987038092919340693e-01,2.077250658606717426e-01
1.851931280612326980e-01,2.195108492849608128e-01,1.857797234862949842e-01,2.154408754845739959e-01,2.195108492849608128e-01,1.237334404912192182e-01,4.662516523861855861e-02,6.284923654922495995e-02,1.433135107329510660e-01,2.160428301088838099e-01,1.153627788019034317e-01,2.195108492849608128e-01,2.195108492849608128e-01,1.564926207927309632e-01,1.101875160691925259e-01,2.022578654109923879e-01,1.156929367398905478e-01,1.788939295220638159e-01,1.119618463388417640e-01,2.195108492849608128e-01,2.195108492849608128e-01,1.236581081581184516e-01,1.925357887253978662e-01,5.127382420750187936e-02,1.031380512169603469e-01,9.749973363890084010e-02,5.605117436815055393e-02,8.759817294521148046e-02,2.195108492849608128e-01,2.195108492849608128e-01,1.334971574666917460e-01,2.195108492849608128e-01,2.063457098061438899e-01,2.181838728401817029e-01,1.064910996625849926e-01,9.163603972881866067e-02
3.013350407860795332e-01,3.013350407860795332e-01,3.013350407860795332e-01,3.013350407860795332e-01,2.669721976301915878e-01,9.389587370889738993e-02,6.250196878521891049e-03,1.332956100706776843e-02,1.345852323905635528e-01,1.268524153892690853e-01,3.059568969958141593e-02,4.772527946469757448e-02,6.261701576139951098e-02,2.053027329606018359e-01,1.654240990384252541e-01,6.890754580540353613e-02,1.896802109524950153e-01,3.013350407860795332e-01,1.568789596840801381e-01,3.013350407860795332e-01,2.210570348483950898e-01,2.901975000799072654e-02,1.229815757254000830e-01,8.809446636380809451e-03,6.840518493889785265e-03,2.525470773933851526e-02,6.808368407723947024e-02,1.865374421704321939e-01,1.277393065012379370e-01,6.327345939945902553e-02,9.862357269428861581e-03,4.945491737195956139e-02,0.000000000000000000e+00,6.639801237656028920e-02,1.494933925967464050e-01,2.098492683443964057e-01
2.346590068007105567e-01,1.998413679352554762e-01,2.217782016573268677e-01,1.355625310508948855e-01,2.012632675284194150e-01,8.802985174701991045e-02,1.757175403830455451e-01,2.012152624489086106e-01,1.897382467646642201e-01,1.870706708485720404e-01,2.346590068007105567e-01,2.346590068007105567e-01,2.346590068007105567e-01,1.604542155524763258e-01,1.437276094751067934e-01,6.775584621010392883e-02,1.373926981427021632e-01,2.770305428502035927e-02,2.346590068007105567e-01,2.321687393688947609e-01,2.346590068007105567e-01,6.197478787448519599e-02,2.346590068007105567e-01,9.447561986596333949e-02,1.304079236544899989e-01,1.403503352475354848e-01,1.352059286353650414e-01,1.739773975734000833e-01,6.801571827235487755e-02,1.377371517075638707e-01,8.394656282449858287e-02,3.003479830602768033e-02,2.200963089856637980e-02,1.316412149974854340e-01,1.522110373739692935e-01,1.460861394095770149e-01
